"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belize","BLZ","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1819","1882","1949","2013","2075","2142","2226","2307","2378","2450","2521","2609","2695","2771","2838","2913","2953","2989","3030","3053","3073","3128","3173","3211","3241","3268","3336","3407","3483","3576","3675","3812","3963","4132","4311","4500","4523","4553","4594","4630","4678","4685","4672","4638","4584","4504","4774","5078","5423","5818","6283","6371","6457","6547","6649","6770","6962","",
"Bermuda","BMU","Population ages 65 and above, male","SP.POP.65UP.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","77799","77972","77779","77333","76771","76157","76482","76727","76897","77000","77044","78252","79373","80422","81444","82452","85073","87703","90290","92744","95010","98413","101793","105240","108821","112598","117071","121728","126680","132032","137846","143424","149295","155373","161484","167533","173330","179093","184838","190555","196269","202331","208396","214708","221615","229317","237875","247125","256824","266595","276261","285460","294461","303664","313602","324597","335092","",
"Brazil","BRA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","986427","1031361","1077219","1122859","1166748","1208296","1254396","1298994","1343275","1388713","1436393","1494178","1551690","1609302","1667480","1726420","1787643","1846637","1902886","1955401","2003990","2058595","2108342","2154447","2198703","2242734","2310458","2375649","2439691","2504573","2571612","2679752","2787052","2890999","2987778","3075863","3214236","3345930","3476367","3612951","3759836","3939252","4130850","4328294","4521982","4707543","4895632","5075480","5254976","5444761","5651169","5894010","6148184","6415876","6699314","7000325","7321353","",
"Barbados","BRB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","4559","4647","4760","4903","5080","5298","5596","5934","6296","6661","7025","7496","8034","8655","9348","10072","10286","10440","10549","10608","10606","10685","10690","10638","10557","10450","10428","10389","10333","10274","10212","10388","10578","10776","10976","11179","11421","11684","11976","12292","12634","12750","12853","12950","13043","13136","13326","13525","13762","14061","14436","14867","15367","15920","16499","17105","17680","",
"Brunei Darussalam","BRN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1515","1574","1624","1675","1738","1808","1871","1950","2040","2130","2222","2331","2433","2546","2665","2815","2874","2924","2953","2949","2910","3030","3135","3239","3336","3445","3513","3562","3594","3600","3570","3661","3763","3874","3987","4097","4088","4060","4028","3998","3967","4215","4470","4739","5019","5312","5580","5825","6057","6257","6417","6658","6919","7230","7610","8091","8655","",
"Bhutan","BTN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2544","2621","2697","2771","2829","2885","2999","3106","3212","3314","3418","3569","3717","3874","4030","4189","4389","4588","4791","4988","5185","5416","5645","5866","6097","6343","6682","7035","7378","7675","7908","8159","8301","8390","8465","8574","8880","9272","9734","10250","10805","11288","11811","12367","12920","13456","14095","14698","15287","15901","16551","17272","18040","18828","19585","20293","21022","",
"Botswana","BWA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","7517","7530","7473","7381","7308","7278","7420","7591","7777","7913","7999","8163","8288","8387","8467","8532","8701","8864","9021","9200","9395","9688","9980","10293","10657","11091","11670","12315","12975","13580","14092","14635","15079","15480","15900","16382","16963","17574","18185","18802","19402","20183","20954","21695","22421","23126","24080","25050","26004","26925","27797","28768","29681","30628","31737","33086","34728","",
"Central African Republic","CAF","Population ages 65 and above, male","SP.POP.65UP.MA.IN","28800","29315","29811","30244","30577","30768","31499","32130","32658","33082","33407","34283","35071","35771","36405","36997","38031","39033","40015","40971","41904","43113","44299","45428","46464","47390","48622","49681","50635","51566","52535","53855","55200","56527","57763","58863","60357","61623","62691","63594","64359","65669","66766","67653","68323","68796","70120","71249","72067","72435","72280","73092","73369","73282","73051","72823","73592","",
"Canada","CAN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","666955","676638","684627","692479","701032","710178","720669","732308","744111","754939","766543","784811","802482","820752","841329","865160","892038","919160","945075","969446","994604","1022339","1047545","1070018","1093666","1119765","1150306","1186638","1224555","1269361","1310724","1350431","1386636","1419972","1451403","1481685","1518679","1556529","1591792","1625225","1657749","1695728","1729417","1764575","1802592","1845100","1890762","1942881","2002136","2069707","2145128","2224377","2318680","2422175","2530163","2634482","2746945","",
"Central Europe and the Baltics","CEB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2623823","2717956","2818487","2927384","3042715","3157486","3289205","3419144","3543200","3665485","3785619","3919384","4059527","4196043","4325821","4446734","4583867","4706954","4798079","4833665","4808468","4749062","4631407","4491088","4375347","4310417","4363615","4448818","4550744","4638280","4706954","4812752","4915746","5025529","5118206","5196368","5317517","5433633","5523781","5604248","5637508","5720817","5780992","5845145","5887786","5905041","5951793","5965640","5970356","5997475","6039821","6151070","6292283","6451223","6619248","6789921","7007698","",
"Switzerland","CHE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","226074","231158","237526","242998","247315","250477","256628","263308","270071","276479","281737","289430","297471","305185","312144","317212","323897","330901","338326","345054","350787","355030","357526","358451","359385","361627","366311","372183","378592","384436","389809","397156","402507","405998","408624","410802","417837","424268","430941","437985","444870","453365","461877","470244","478988","488576","499988","513828","530801","548867","566887","584835","603456","623054","642493","660014","679365","",
"Channel Islands","CHI","Population ages 65 and above, male","SP.POP.65UP.MA.IN","5683","5750","5842","5943","6054","6164","6271","6375","6485","6598","6715","6865","6997","7110","7213","7298","7473","7616","7722","7784","7822","7885","7923","7952","7981","8018","8104","8191","8268","8316","8337","8423","8485","8522","8544","8567","8661","8736","8810","8889","8985","9219","9439","9625","9788","9964","10277","10562","10778","10950","11123","11430","11804","12216","12618","12974","13320","",
"Chile","CHL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","160922","166732","171986","176741","181133","185208","190168","194630","198727","202632","206469","212441","218329","223919","228902","233159","239579","245183","250206","254947","259561","266569","273387","280063","286600","293027","301316","309502","317787","326486","335812","347047","358894","371151","383516","395875","410722","425447","440116","454774","469507","484587","499333","514458","530875","549169","568798","589883","612045","634658","657505","680604","703747","727818","754072","783324","817326","",
"China","CHN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","10449881","10445187","10437664","10464939","10412131","10322786","10866502","11418040","11979389","12524801","13034342","13708156","14338743","14952716","15572044","16202499","17016860","17838748","18696450","19588618","20493571","21581433","22690506","23761820","24739038","25645529","26540984","27372138","28166372","28989513","29909823","30820821","31852489","32973559","34119642","35246248","36694035","38010661","39243031","40466306","41717350","43143063","44581476","46009764","47357633","48605495","49806727","50934916","52052599","53230154","54529914","56024478","57541489","59240344","61359542","64024667","67336049","",
"Cote d'Ivoire","CIV","Population ages 65 and above, male","SP.POP.65UP.MA.IN","40023","41941","43960","46063","48203","50375","52630","54864","57148","59586","62259","65448","68913","72649","76627","80834","85137","89566","94196","99110","104400","109798","115506","121493","127727","134217","141015","147825","154789","162124","169968","177786","185744","193882","202205","210724","219060","226907","234217","240941","247087","254741","261180","266570","271120","275033","284706","293882","302550","310618","318028","328530","338260","347411","356182","364675","377052","",
"Cameroon","CMR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","82230","84828","87231","89468","91575","93563","96513","99364","102116","104732","107212","110683","114019","117240","120361","123407","127418","131316","135112","138824","142451","147035","151448","155713","159892","164022","169023","173920","178684","183275","187690","192929","197845","202458","206812","210939","216172","221000","225500","229735","233733","240043","246005","251630","256925","261901","268664","275206","281506","287549","293350","300958","308290","315428","322507","329638","339000","",
"Congo, Dem. Rep.","COD","Population ages 65 and above, male","SP.POP.65UP.MA.IN","174906","179413","183678","187737","191597","195268","201478","207536","213462","219298","225070","233034","240760","248324","255817","263307","273038","282700","292192","301379","310221","321184","331520","341399","351025","360567","372841","385160","397887","411405","425904","444131","463559","483418","502822","521379","539158","554589","568570","582121","595912","616650","637875","659581","681757","704378","732477","761075","790196","819891","850270","885201","920644","956355","991991","1027548","1066273","",
"Congo, Rep.","COG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","16659","17383","18139","18902","19647","20365","21167","21933","22680","23414","24146","24984","25809","26616","27398","28166","29054","29900","30720","31532","32350","33316","34280","35249","36189","37123","38228","39287","40308","41318","42323","43461","44555","45619","46667","47696","48863","49971","51024","52027","52992","54184","55311","56401","57499","58628","60386","62193","64002","65727","67332","69440","71416","73330","75279","77349","79869","",
"Colombia","COL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","224204","233384","242266","251065","260076","269468","280995","292677","304371","315952","327438","340437","353376","366171","378632","390683","406575","421250","435007","448280","461301","475221","489118","503136","517419","532191","550640","569461","588292","606699","624518","644987","664429","683344","702339","721827","744525","767809","791590","815529","839586","866993","894293","922008","950838","981372","1015191","1050858","1089292","1131525","1178451","1232239","1289727","1351509","1418419","1491010","1569036","",
"Comoros","COM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2720","2753","2772","2783","2782","2771","2832","2889","2946","2993","3036","3139","3236","3338","3432","3530","3686","3851","4014","4175","4320","4492","4634","4757","4876","4979","5126","5271","5411","5539","5652","5827","5987","6142","6288","6423","6613","6783","6945","7098","7248","7461","7662","7847","8017","8171","8400","8614","8810","8981","9130","9348","9539","9732","9948","10200","10573","",
"Cabo Verde","CPV","Population ages 65 and above, male","SP.POP.65UP.MA.IN","4018","3997","4000","4006","4017","4024","4104","4177","4247","4327","4424","4722","5015","5275","5486","5639","5791","5891","5959","6009","6048","6092","6159","6229","6269","6267","6267","6230","6208","6263","6430","6594","6851","7166","7496","7801","8155","8487","8808","9150","9520","9942","10402","10869","11285","11617","11595","11491","11341","11160","10962","10572","10137","9711","9374","9178","9240","",
"Costa Rica","CRI","Population ages 65 and above, male","SP.POP.65UP.MA.IN","19732","20538","21419","22369","23351","24367","25567","26814","28093","29426","30818","32352","33909","35521","37194","38935","40651","42331","43985","45631","47278","48922","50604","52312","54059","55853","57975","60130","62357","64738","67327","70166","73188","76374","79697","83153","86850","90640","94554","98610","102841","107370","112071","116959","122028","127320","132823","138371","144186","150570","157711","165151","173365","182098","190912","199600","208214","",
"Caribbean small states","CSS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","69231","72012","75157","78460","81837","85345","88360","91538","94842","98148","101362","105081","108555","111988","115501","119056","123840","128684","133614","138394","142767","146286","149291","152017","154493","156509","157783","159024","160589","162688","165229","168039","170811","173521","176132","178597","182258","185735","189134","192496","195892","198527","201229","204024","206907","209887","214218","218457","222801","227593","233156","239088","245653","252655","259917","267453","275901","",
"Cuba","CUB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","181611","188011","193656","199267","206027","214546","223326","234431","246886","259050","270132","283138","294407","304499","314559","325167","335708","346826","358047","368278","377007","387062","394722","400978","407383","414768","418985","424188","429921","435473","440585","445942","451396","456689","461603","466173","474651","481912","488832","496634","505958","517564","530502","544413","558522","572438","589685","606604","623333","640080","657053","672918","688273","703988","721317","740989","763015","",
"Curacao","CUW","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2322","2316","2320","2312","2282","2224","2336","2455","2601","2795","3018","3168","3283","3370","3486","3553","3665","3757","3808","3862","3928","4020","4115","4189","4248","4318","4434","4525","4583","4629","4685","4777","4882","5021","5162","5302","5522","5722","5809","5797","5762","5724","5906","6224","6536","6928","7219","7493","7736","7946","8223","8549","8864","9261","9744","10266","10671","",
"Cayman Islands","CYM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Population ages 65 and above, male","SP.POP.65UP.MA.IN","16623","17031","17351","17479","17450","17426","19164","21221","23485","25879","28383","28704","28943","29052","29048","29004","29265","29466","29577","29556","29411","29902","30329","30720","31120","31572","31908","32383","32987","33675","34400","35172","35968","36824","37768","38814","39507","40240","41035","41894","42832","43904","45123","46510","48039","49603","51126","52575","54033","55582","57269","59142","61092","63131","65234","67351","69616","",
"Czech Republic","CZE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","360908","368287","377238","386467","396694","407588","421632","435186","447788","458863","465403","476131","487087","496387","505335","514188","527368","540661","550722","552651","542657","530148","509970","486345","466701","454952","460282","470027","481477","490671","494171","501970","508788","513442","516146","517183","525821","533807","540366","544195","543843","547408","548403","548940","551324","557403","570076","587056","607796","628920","650059","676552","704176","731667","759008","785661","814722","",
"Germany","DEU","Population ages 65 and above, male","SP.POP.65UP.MA.IN","3362742","3423156","3481663","3539799","3597855","3665339","3765686","3853519","3937628","4026493","4085794","4174348","4261432","4327306","4364774","4366068","4411571","4442924","4452633","4430480","4372287","4311415","4202120","4068304","3941049","3845299","3824279","3830116","3862191","3919306","3986848","4099596","4221507","4341335","4440865","4527474","4669543","4786330","4894407","5026388","5196253","5419290","5672251","5931327","6170677","6376756","6588392","6768840","6919346","7046294","7165841","7124551","7211136","7294601","7389011","7523846","7701782","",
"Djibouti","DJI","Population ages 65 and above, male","SP.POP.65UP.MA.IN","867","910","973","1046","1127","1217","1298","1390","1487","1597","1717","1819","1926","2054","2226","2450","2651","2908","3197","3487","3765","3982","4158","4332","4534","4799","5146","5556","6001","6448","6869","7174","7415","7621","7818","8040","8374","8739","9121","9515","9909","10314","10712","11111","11508","11922","12385","12854","13340","13862","14423","15072","15757","16449","17088","17665","18183","",
"Dominica","DMA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Population ages 65 and above, male","SP.POP.65UP.MA.IN","223859","227869","232000","236062","240003","243786","248700","253360","257405","261263","265676","271866","277388","282701","287354","291269","296396","301223","305550","309055","311524","314783","316968","318495","319696","320975","324718","327715","329640","330647","330986","331902","332234","331818","330710","329615","331158","331756","331865","331713","331628","335253","338608","342182","346730","352694","362297","373179","385479","398474","411936","425203","441081","459600","478844","497044","512990","",
"Dominican Republic","DOM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","43711","45353","46972","48578","50203","51871","53886","55899","57931","59984","62076","64604","67124","69670","72277","74974","78147","81364","84641","87997","91448","95744","100046","104417","108910","113589","119357","125253","131275","137387","143609","150717","157742","164770","171912","179257","186930","194660","202426","210165","217864","226090","234079","241790","249153","256149","262839","269223","275525","281984","288812","296487","304386","312688","321629","331381","342470","",
"Algeria","DZA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","182442","190824","199536","207958","215403","221532","227422","232222","236404","240526","244872","252448","259965","266991","273030","277951","283724","288408","292551","296903","301950","310030","318809","327662","335788","342897","353707","364286","375250","387480","401615","418436","436254","455339","476215","499296","525988","555399","586778","618996","651612","679152","705398","730952","756472","782574","813111","843856","875385","908516","944342","972290","1002937","1037994","1080337","1132144","1186993","",
"East Asia & Pacific (excluding high income)","EAP","Population ages 65 and above, male","SP.POP.65UP.MA.IN","13996629","14084723","14163440","14271648","14296687","14284040","14964923","15647118","16334024","17002068","17632830","18463720","19242934","19996392","20745259","21495592","22519758","23542545","24589424","25654854","26715824","28004640","29294259","30533281","31675392","32751429","33873414","34935096","35961127","37015700","38162647","39369627","40686159","42086884","43516968","44939010","46745461","48423313","50017309","51596456","53191656","55001663","56786096","58521320","60140922","61633753","63215303","64699043","66148327","67631039","69209149","71115175","73029186","75134617","77703308","80881730","84860260","",
"Early-demographic dividend","EAR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","15524051","16049030","16561764","17050362","17506611","17927515","18560974","19160514","19732405","20288438","20835347","21621946","22383524","23116918","23814996","24478607","25329017","26137730","26902777","27620564","28292256","29157895","29958859","30711497","31439728","32163226","33201678","34219759","35216117","36190548","37171532","38525184","39836967","41112982","42361899","43596330","45189264","46735011","48237928","49702795","51138755","52859883","54522479","56121065","57648175","59112037","60927183","62672890","64363788","66011860","67639484","69627538","71564528","73557082","75736853","78185918","81223925","",
"East Asia & Pacific","EAS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","17230782","17460165","17643839","17855769","17982425","18069011","18872544","19670612","20454682","21271132","22022533","23032997","23980958","24878229","25817099","26748664","27964362","29203856","30472424","31751871","33007041","34515565","35997529","37413631","38737336","40015466","41378870","42696828","44001086","45361706","46839507","48427291","50138049","51946234","53799467","55658123","57920067","60041539","62081351","64099267","66142000","68437919","70708504","72926566","75015696","76975966","79039957","80990514","82933544","84942666","87113391","89632645","92228040","95044455","98319481","102175191","106780017","",
