"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belarus","BLR","Population ages 15-64, female","SP.POP.1564.FE.IN","2897102","2892077","2898762","2913562","2930841","2947595","2971383","2995816","3022201","3052335","3085782","3126866","3165945","3200735","3229765","3252810","3268150","3289769","3317581","3345164","3371990","3403525","3433767","3462043","3486910","3506643","3516200","3523932","3517821","3512818","3505419","3492119","3487393","3486890","3479847","3471773","3474646","3477077","3480487","3487579","3493179","3490585","3483231","3474273","3468119","3464838","3461981","3468535","3478870","3487925","3489961","3478976","3463367","3445050","3425970","3408347","3387811","",
"Belize","BLZ","Population ages 15-64, female","SP.POP.1564.FE.IN","23899","24257","24696","25198","25761","26381","27108","27865","28655","29448","30223","30658","31048","31428","31794","32166","32485","32857","33342","33977","34732","35999","37300","38654","40093","41627","42929","44379","45885","47308","48613","49691","50595","51519","52695","54246","56633","59424","62379","65251","67927","70596","73170","75736","78426","81316","84441","87726","91106","94511","97889","101548","105096","108620","112199","115851","119247","",
"Bermuda","BMU","Population ages 15-64, female","SP.POP.1564.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 15-64, female","SP.POP.1564.FE.IN","994345","1010686","1026683","1043298","1062441","1085047","1105119","1129019","1155798","1183957","1212693","1237861","1264467","1292281","1321348","1351745","1379165","1407964","1438087","1469682","1502897","1533007","1565202","1598965","1633758","1669458","1703890","1739575","1776579","1815143","1855477","1897719","1942021","1988368","2036740","2087057","2137495","2190202","2244676","2300410","2357138","2412257","2468970","2526705","2584857","2643208","2701662","2760266","2819537","2880381","2943239","3007449","3074144","3142301","3210286","3277032","3343471","",
"Brazil","BRA","Population ages 15-64, female","SP.POP.1564.FE.IN","19496030","19988715","20507155","21059279","21656935","22305257","22932060","23633365","24389405","25172362","25969526","26783587","27608868","28456724","29344866","30279461","31222358","32197724","33204059","34235903","35286805","36287997","37323988","38378009","39435423","40491628","41503526","42539206","43592317","44657437","45734649","46848151","47949670","49064375","50222894","51435040","52637511","53882031","55148343","56406101","57636483","58771926","59909718","61034396","62132623","63200725","64276144","65303389","66296091","67273637","68241251","69179389","70089803","70967760","71802643","72584332","73265400","",
"Barbados","BRB","Population ages 15-64, female","SP.POP.1564.FE.IN","71087","70640","70230","69844","69444","69046","68952","68972","69112","69371","69760","71030","72264","73502","74812","76199","77033","77972","78782","79247","79341","80559","81377","82021","82753","83684","84397","85360","86429","87387","88133","88822","89313","89674","90057","90511","90929","91395","91865","92258","92547","93267","93864","94387","94928","95516","96024","96570","97092","97498","97749","98072","98224","98228","98140","97987","97940","",
"Brunei Darussalam","BRN","Population ages 15-64, female","SP.POP.1564.FE.IN","20594","21310","21931","22558","23358","24392","25816","27482","29341","31300","33278","35331","37391","39437","41460","43463","44858","46341","47880","49499","51262","53099","55053","57094","59194","61346","64225","67099","69922","72695","75454","78051","80811","83723","86855","90242","94003","98088","102338","106580","110672","113634","116510","119140","121515","123686","125338","126952","128588","130358","132341","134934","137550","140183","142799","145344","147452","",
"Bhutan","BTN","Population ages 15-64, female","SP.POP.1564.FE.IN","60457","61805","63436","65265","67191","69156","71091","73136","75272","77508","79846","81679","83655","85777","88047","90481","92737","95221","97903","100747","103739","106227","108868","111762","115005","118642","122657","127058","131349","134963","137551","136946","135232","133097","131432","130849","133450","137431","142496","148236","154273","160374","166814","173523","180336","187149","193717","200110","206344","212506","218633","224262","229946","235569","240983","246110","251122","",
"Botswana","BWA","Population ages 15-64, female","SP.POP.1564.FE.IN","141359","143949","146324","148769","151742","155487","159558","164401","169922","175874","182127","188419","195122","202256","209881","218020","226782","236070","245755","255687","265757","274878","284227","293823","303766","314171","324558","335736","347667","360247","373458","387855","402493","417470","432950","448912","463143","478002","493092","507792","521780","533598","544890","555922","567131","578821","591559","604568","617923","631684","645818","660408","675349","690417","705383","720134","734135","",
"Central African Republic","CAF","Population ages 15-64, female","SP.POP.1564.FE.IN","439274","443895","449457","455899","463299","471671","478410","486452","495487","505134","515178","521847","529283","537590","546961","557534","567851","579696","593081","608049","624556","641998","661317","681638","701947","721640","734802","747597","760848","775651","792789","813046","836167","861404","887788","914590","936958","959711","982937","1006828","1031469","1050218","1069864","1090276","1111319","1132917","1149586","1167236","1184745","1200677","1214267","1213710","1210524","1207337","1207338","1212639","1230860","",
"Canada","CAN","Population ages 15-64, female","SP.POP.1564.FE.IN","5189097","5288820","5394871","5513050","5641900","5774978","5926448","6088071","6248653","6398702","6553633","6733985","6916470","7105492","7308029","7526888","7689395","7850653","8001150","8143650","8297905","8438032","8565000","8663888","8750869","8828213","8911443","9018583","9121215","9268233","9389928","9504134","9607989","9703355","9792711","9876769","9985620","10105501","10215462","10325220","10441220","10582536","10709591","10845714","10982452","11115897","11226787","11353836","11486968","11616884","11730708","11811147","11912921","12006261","12083759","12121691","12193909","",
